ObjID;RelLength;Re;CellHeight;y;LHRatio;LayerNumber;BLHeight;ElNumber;GCSize;TurbModel;LossFactorCFX
1;3;60000;0.001;0.3;1.62;11;1.065;1400000;1;type1;0.022
2;3;100000;0.001;0.5;1.62;11;1.065;1400000;1;type1;0.020
3;3;140000;0.001;0.6;1.62;11;1.065;1400000;1;type1;0.019
4;3;60000;0.001;0.3;1.62;11;1.065;1400000;1;type2;0.028
5;3;100000;0.001;0.5;1.62;11;1.065;1400000;1;type2;0.024
6;3;140000;0.001;0.6;1.62;11;1.065;1400000;1;type2;0.022
7;3;60000;0.001;0.3;1.62;11;1.065;1400000;1;type3;0.029
8;3;100000;0.001;0.5;1.62;11;1.065;1400000;1;type3;0.025
9;3;140000;0.001;0.6;1.62;11;1.065;1400000;1;type3;0.023
10;3;60000;0.001;0.3;1.62;11;1.065;103969;3;type1;0.023
11;3;100000;0.001;0.5;1.62;11;1.065;103969;3;type1;0.021
12;3;140000;0.001;0.6;1.62;11;1.065;103969;3;type1;0.020
13;3;60000;0.001;0.3;1.62;11;1.065;103969;3;type2;0.030
14;3;100000;0.001;0.5;1.62;11;1.065;103969;3;type2;0.026
15;3;140000;0.001;0.6;1.62;11;1.065;103969;3;type2;0.023
16;3;60000;0.001;0.3;1.62;11;1.065;103969;3;type3;0.030
17;3;100000;0.001;0.5;1.62;11;1.065;103969;3;type3;0.026
18;3;140000;0.001;0.6;1.62;11;1.065;103969;3;type3;0.024
19;3;60000;0.001;0.3;1.62;11;1.065;30382;5;type1;0.024
20;3;100000;0.001;0.5;1.62;11;1.065;30382;5;type1;0.021
21;3;140000;0.001;0.6;1.62;11;1.065;30382;5;type1;0.020
22;3;60000;0.001;0.3;1.62;11;1.065;30382;5;type2;0.031
23;3;100000;0.001;0.5;1.62;11;1.065;30382;5;type2;0.026
24;3;140000;0.001;0.6;1.62;11;1.065;30382;5;type2;0.024
25;3;60000;0.001;0.3;1.62;11;1.065;30382;5;type3;0.032
26;3;100000;0.001;0.5;1.62;11;1.065;30382;5;type3;0.027
27;3;140000;0.001;0.6;1.62;11;1.065;30382;5;type3;0.024
28;3;60000;0.03;6.1;1.187;11;1.065;1398729;1;type1;0.022321
29;3;100000;0.03;8.4;1.187;11;1.065;1398729;1;type1;0.020826
30;3;140000;0.03;10.3;1.187;11;1.065;1398729;1;type1;0.01987
31;3;60000;0.03;6.1;1.187;11;1.065;1398729;1;type2;0.024493
32;3;100000;0.03;8.4;1.187;11;1.065;1398729;1;type2;0.022444
33;3;140000;0.03;10.3;1.187;11;1.065;1398729;1;type2;0.021447
34;3;60000;0.03;6.1;1.187;11;1.065;1398729;1;type3;0.026254
35;3;100000;0.03;8.4;1.187;11;1.065;1398729;1;type3;0.023823
36;3;140000;0.03;10.3;1.187;11;1.065;1398729;1;type3;0.022714
37;3;60000;1.00;40.5;;;;1028382;1;type1;0.029059
38;3;100000;1.00;61.6;;;;1028382;1;type1;0.028632
39;3;140000;1.00;82.5;;;;1028382;1;type1;0.027494
40;3;60000;1.00;40.5;;;;1028382;1;type2;0.024354
41;3;100000;1.00;61.6;;;;1028382;1;type2;0.021496
42;3;140000;1.00;82.5;;;;1028382;1;type2;0.019865
43;3;60000;1.00;40.5;;;;1028382;1;type3;0.024346
44;3;100000;1.00;61.6;;;;1028382;1;type3;0.021523
45;3;140000;1.00;82.5;;;;1028382;1;type3;0.019891
46;3;60000;0.001;0.3;1.62;6;0.047;1382134;1;type1;0.012806
47;3;100000;0.001;0.5;1.62;6;0.047;1382134;1;type1;0.012201
48;3;140000;0.001;0.6;1.62;6;0.047;1382134;1;type1;0.012598
49;3;60000;0.001;0.3;1.62;6;0.047;1382134;1;type2;0.058714
50;3;100000;0.001;0.5;1.62;6;0.047;1382134;1;type2;0.047927
51;3;140000;0.001;0.6;1.62;6;0.047;1382134;1;type2;0.040584
52;3;60000;0.001;0.3;1.62;6;0.047;1382134;1;type3;0.058632
53;3;100000;0.001;0.5;1.62;6;0.047;1382134;1;type3;0.047907
54;3;140000;0.001;0.6;1.62;6;0.047;1382134;1;type3;0.040572
55;3;60000;0.001;0.3;1.62;8;0.165;1370657;1;type1;0.021977
56;3;100000;0.001;0.5;1.62;8;0.165;1370657;1;type1;0.020922
57;3;140000;0.001;0.6;1.62;8;0.165;1370657;1;type1;0.019959
58;3;60000;0.001;0.3;1.62;8;0.165;1370657;1;type2;0.02832
59;3;100000;0.001;0.5;1.62;8;0.165;1370657;1;type2;0.025673
60;3;140000;0.001;0.6;1.62;8;0.165;1370657;1;type2;0.024414
61;3;60000;0.001;0.3;1.62;8;0.165;1370657;1;type3;0.028107
62;3;100000;0.001;0.5;1.62;8;0.165;1370657;1;type3;0.026269
63;3;140000;0.001;0.6;1.62;8;0.165;1370657;1;type3;0.024983
64;10;60000;0.001;0.3;1.62;11;1.065;8423897;1;type1;0.018818
65;10;100000;0.001;0.4;1.62;11;1.065;8423897;1;type1;0.017307
66;10;140000;0.001;0.5;1.62;11;1.065;8423897;1;type1;0.016346
67;10;60000;0.001;0.3;1.62;11;1.065;8423897;1;type2;0.021869
68;10;100000;0.001;0.4;1.62;11;1.065;8423897;1;type2;0.019538
69;10;140000;0.001;0.5;1.62;11;1.065;8423897;1;type2;0.018168
70;10;60000;0.001;0.3;1.62;11;1.065;8423897;1;type3;0.022769
71;10;100000;0.001;0.4;1.62;11;1.065;8423897;1;type3;0.020285
72;10;140000;0.001;0.5;1.62;11;1.065;8423897;1;type3;0.018857
73;10;60000;0.001;0.3;1.62;11;1.065;554519;3;type1;0.018827
74;10;100000;0.001;0.4;1.62;11;1.065;554519;3;type1;0.017373
75;10;140000;0.001;0.5;1.62;11;1.065;554519;3;type1;0.016504
76;10;60000;0.001;0.3;1.62;11;1.065;554519;3;type2;0.024428
77;10;100000;0.001;0.4;1.62;11;1.065;554519;3;type2;0.021623
78;10;140000;0.001;0.5;1.62;11;1.065;554519;3;type2;0.019979
79;10;60000;0.001;0.3;1.62;11;1.065;554519;3;type3;0.024716
80;10;100000;0.001;0.4;1.62;11;1.065;554519;3;type3;0.021843
81;10;140000;0.001;0.5;1.62;11;1.065;554519;3;type3;0.020195
82;10;60000;0.001;0.3;1.62;11;1.065;164820;5;type1;0.019742
83;10;100000;0.001;0.4;1.62;11;1.065;164820;5;type1;0.018208
84;10;140000;0.001;0.5;1.62;11;1.065;164820;5;type1;0.017271
85;10;60000;0.001;0.3;1.62;11;1.065;164820;5;type2;0.025821
86;10;100000;0.001;0.4;1.62;11;1.065;164820;5;type2;0.022657
87;10;140000;0.001;0.5;1.62;11;1.065;164820;5;type2;0.020858
88;10;60000;0.001;0.3;1.62;11;1.065;164820;5;type3;0.026104
89;10;100000;0.001;0.4;1.62;11;1.065;164820;5;type3;0.02292
90;10;140000;0.001;0.5;1.62;11;1.065;164820;5;type3;0.021133
91;10;60000;0.03;5.7;1.187;11;1.065;8487700;1;type1;0.019
92;10;100000;0.03;7.9;1.187;11;1.065;8487700;1;type1;0.018
93;10;140000;0.03;9.7;1.187;11;1.065;8487700;1;type1;0.017
94;10;60000;0.03;5.7;1.187;11;1.065;8487700;1;type2;0.020
95;10;100000;0.03;7.9;1.187;11;1.065;8487700;1;type2;0.018
96;10;140000;0.03;9.7;1.187;11;1.065;8487700;1;type2;0.017
97;10;60000;0.03;5.7;1.187;11;1.065;8487700;1;type3;0.022
98;10;100000;0.03;7.9;1.187;11;1.065;8487700;1;type3;0.019
99;10;140000;0.03;9.7;1.187;11;1.065;8487700;1;type3;0.018
100;10;60000;1.00;33.3;;;;6506812;1;type1;0.018
101;10;100000;1.00;53.4;;;;6506812;1;type1;0.015
102;10;140000;1.00;73.0;;;;6506812;1;type1;0.014
103;10;60000;1.00;33.3;;;;6506812;1;type2;0.016
104;10;100000;1.00;53.4;;;;6506812;1;type2;0.015
105;10;140000;1.00;73.0;;;;6506812;1;type2;0.014
106;10;60000;1.00;33.3;;;;6506812;1;type3;0.017
107;10;100000;1.00;53.4;;;;6506812;1;type3;0.016
108;10;140000;1.00;73.0;;;;6506812;1;type3;0.015
109;10;60000;0.001;0.3;1.62;6;0.047;7829703;1;type1;0.011
110;10;100000;0.001;0.4;1.62;6;0.047;7829703;1;type1;0.013
111;10;140000;0.001;0.5;1.62;6;0.047;7829703;1;type1;0.013
112;10;60000;0.001;0.3;1.62;6;0.047;7829703;1;type2;0.028
113;10;100000;0.001;0.4;1.62;6;0.047;7829703;1;type2;0.022
114;10;140000;0.001;0.5;1.62;6;0.047;7829703;1;type2;0.019
115;10;60000;0.001;0.3;1.62;6;0.047;7829703;1;type3;0.028
116;10;100000;0.001;0.4;1.62;6;0.047;7829703;1;type3;0.024
117;10;140000;0.001;0.5;1.62;6;0.047;7829703;1;type3;0.020
118;10;60000;0.001;0.3;1.62;8;0.165;8271334;1;type1;0.019
119;10;100000;0.001;0.4;1.62;8;0.165;8271334;1;type1;0.016
120;10;140000;0.001;0.5;1.62;8;0.165;8271334;1;type1;0.014
121;10;60000;0.001;0.3;1.62;8;0.165;8271334;1;type2;0.019
122;10;100000;0.001;0.4;1.62;8;0.165;8271334;1;type2;0.017
123;10;140000;0.001;0.5;1.62;8;0.165;8271334;1;type2;0.016
124;10;60000;0.001;0.3;1.62;8;0.165;8271334;1;type3;0.020
125;10;100000;0.001;0.4;1.62;8;0.165;8271334;1;type3;0.018
126;10;140000;0.001;0.5;1.62;8;0.165;8271334;1;type3;0.018
127;10;60000;0.03;8.0;1.187;11;1.065;739040;1;type1;0.019
128;10;100000;0.03;11.5;1.187;11;1.065;739040;1;type1;0.017
129;10;140000;0.03;14.7;1.187;11;1.065;739040;1;type1;0.016
130;10;60000;0.03;8.0;1.187;11;1.065;739040;1;type2;0.022
131;10;100000;0.03;11.5;1.187;11;1.065;739040;1;type2;0.020
132;10;140000;0.03;14.7;1.187;11;1.065;739040;1;type2;0.018
133;10;60000;0.03;8.0;1.187;11;1.065;739040;1;type3;0.023
134;10;100000;0.03;11.5;1.187;11;1.065;739040;1;type3;0.021
135;10;140000;0.03;14.7;1.187;11;1.065;739040;1;type3;0.019
136;10;60000;0.03;8.0;1.187;11;1.065;66603;3;type1;0.020
137;10;100000;0.03;11.5;1.187;11;1.065;66603;3;type1;0.018
138;10;140000;0.03;14.7;1.187;11;1.065;66603;3;type1;0.017
139;10;60000;0.03;8.0;1.187;11;1.065;66603;3;type2;0.021
140;10;100000;0.03;11.5;1.187;11;1.065;66603;3;type2;0.019
141;10;140000;0.03;14.7;1.187;11;1.065;66603;3;type2;0.018
142;10;60000;0.03;8.0;1.187;11;1.065;66603;3;type3;0.023
143;10;100000;0.03;11.5;1.187;11;1.065;66603;3;type3;0.021
144;10;140000;0.03;14.7;1.187;11;1.065;66603;3;type3;0.019
145;10;60000;0.03;8.0;1.187;11;1.065;22443;5;type1;0.018
146;10;100000;0.03;11.5;1.187;11;1.065;22443;5;type1;0.016
147;10;140000;0.03;14.7;1.187;11;1.065;22443;5;type1;0.015
148;10;60000;0.03;8.0;1.187;11;1.065;22443;5;type2;0.019
149;10;100000;0.03;11.5;1.187;11;1.065;22443;5;type2;0.017
150;10;140000;0.03;14.7;1.187;11;1.065;22443;5;type2;0.015
151;10;60000;0.03;8.0;1.187;11;1.065;22443;5;type3;0.021
152;10;100000;0.03;11.5;1.187;11;1.065;22443;5;type3;0.018
153;10;140000;0.03;14.7;1.187;11;1.065;22443;5;type3;0.016
154;10;60000;0.001;0.5;1.62;11;1.065;776889;1;type1;0.019
155;10;100000;0.001;0.8;1.62;11;1.065;776889;1;type1;0.017
156;10;140000;0.001;1.0;1.62;11;1.065;776889;1;type1;0.016
157;10;60000;0.001;0.5;1.62;11;1.065;776889;1;type2;0.022
158;10;100000;0.001;0.8;1.62;11;1.065;776889;1;type2;0.020
159;10;140000;0.001;1.0;1.62;11;1.065;776889;1;type2;0.018
160;10;60000;0.001;0.5;1.62;11;1.065;776889;1;type3;0.023
161;10;100000;0.001;0.8;1.62;11;1.065;776889;1;type3;0.021
162;10;140000;0.001;1.0;1.62;11;1.065;776889;1;type3;0.019
163;10;60000;1.00;75.1;;;;469539;1;type1;0.025
164;10;100000;1.00;117.9;;;;469539;1;type1;0.023
165;10;140000;1.00;158.2;;;;469539;1;type1;0.022
166;10;60000;1.00;75.1;;;;469539;1;type2;0.019
167;10;100000;1.00;117.9;;;;469539;1;type2;0.017
168;10;140000;1.00;158.2;;;;469539;1;type2;0.016
169;10;60000;1.00;75.1;;;;469539;1;type3;0.019
170;10;100000;1.00;117.9;;;;469539;1;type3;0.017
171;10;140000;1.00;158.2;;;;469539;1;type3;0.016
172;10;60000;0.03;8.0;1.187;6;0.310;680571;1;type1;0.020
173;10;100000;0.03;11.5;1.187;6;0.310;680571;1;type1;0.018
174;10;140000;0.03;14.7;1.187;6;0.310;680571;1;type1;0.017
175;10;60000;0.03;8.0;1.187;6;0.310;680571;1;type2;0.022
176;10;100000;0.03;11.5;1.187;6;0.310;680571;1;type2;0.020
177;10;140000;0.03;14.7;1.187;6;0.310;680571;1;type2;0.018
178;10;60000;0.03;8.0;1.187;6;0.310;680571;1;type3;0.023
179;10;100000;0.03;11.5;1.187;6;0.310;680571;1;type3;0.021
180;10;140000;0.03;14.7;1.187;6;0.310;680571;1;type3;0.020
181;10;60000;0.03;8.0;1.187;8;0.520;745638;1;type1;0.019
182;10;100000;0.03;11.5;1.187;8;0.520;745638;1;type1;0.017
183;10;140000;0.03;14.7;1.187;8;0.520;745638;1;type1;0.016
184;10;60000;0.03;8.0;1.187;8;0.520;745638;1;type2;0.022
185;10;100000;0.03;11.5;1.187;8;0.520;745638;1;type2;0.020
186;10;140000;0.03;14.7;1.187;8;0.520;745638;1;type2;0.018
187;10;60000;0.03;8.0;1.187;8;0.520;745638;1;type3;0.023
188;10;100000;0.03;11.5;1.187;8;0.520;745638;1;type3;0.021
189;10;140000;0.03;14.7;1.187;8;0.52;745638;1;type3;0.019
